읍면동명,업종명,연령대,1인당 이용금액
이도이동,숙박,30_40_50,2261121.9813084113
이도일동,숙박,30_40_50,1308649.743697479
이호일동,숙박,30_40_50,824934.5762711865
일도이동,숙박,30_40_50,446678.5310734463
일도일동,숙박,30_40_50,599360.5406698565
조천읍,숙박,30_40_50,940779.9552715655
중문동,숙박,30_40_50,1186976.5833333333
추자면,숙박,30_40_50,327412.4761904762
토평동,숙박,30_40_50,1316291.4587155962
표선면,숙박,30_40_50,1340193.5358649788
하예동,숙박,30_40_50,692894.6814159292
하원동,숙박,30_40_50,1608445.3125
하효동,숙박,30_40_50,204862.06896551725
한경면,숙박,30_40_50,242255.25791855203
한림읍,숙박,30_40_50,1377308.1732851986
해안동,숙박,30_40_50,713977.0421455939
호근동,숙박,30_40_50,472816.7340425532
화북일동,숙박,30_40_50,55000.0
회수동,숙박,30_40_50,1373756.347107438
회천동,숙박,30_40_50,828285.5882352941
강정동,숙박,60_70,645435.3885135135
건입동,숙박,60_70,678562.8039215687
구좌읍,숙박,60_70,397118.9743589744
남원읍,숙박,60_70,804007.8461538461
내도동,숙박,60_70,222060.60606060605
노형동,숙박,60_70,634736.4322033898
대정읍,숙박,60_70,400093.3333333333
대포동,숙박,60_70,312797.31481481483
도남동,숙박,60_70,138800.0
도두이동,숙박,60_70,205209.67741935485
도두일동,숙박,60_70,686872.5490196078
도순동,숙박,60_70,800000.0
동홍동,숙박,60_70,355000.0
법환동,숙박,60_70,447649.11818181816
보목동,숙박,60_70,158402.1739130435
봉개동,숙박,60_70,72911.76470588235
삼도이동,숙박,60_70,978657.9121621621
삼도일동,숙박,60_70,604312.9851851852
삼양삼동,숙박,60_70,96666.66666666667
삼양이동,숙박,60_70,390436.6666666667
삼양일동,숙박,60_70,132792.85714285713
상예동,숙박,60_70,1316328.4745762711
상효동,숙박,60_70,111789.6551724138
색달동,숙박,60_70,1039552.4408602151
서귀동,숙박,60_70,1028234.3557692308
서호동,숙박,60_70,717198.7903225806
서홍동,숙박,60_70,169561.66666666666
성산읍,숙박,60_70,1083123.2708333333
신효동,숙박,60_70,128000.0
아라이동,숙박,60_70,65000.0
아라일동,숙박,60_70,268164.347826087
안덕면,숙박,60_70,1130105.7965367965
애월읍,숙박,60_70,691055.4409937888
연동,숙박,60_70,1946664.1826923077
영남동,숙박,60_70,160337.5
오등동,숙박,60_70,464480.1176470588
오라이동,숙박,60_70,905685.7142857143
오라일동,숙박,60_70,304763.3333333333
외도이동,숙박,60_70,418062.9166666667
외도일동,숙박,60_70,526996.0188679246
용담삼동,숙박,60_70,537104.7619047619
용담이동,숙박,60_70,382790.5882352941
용담일동,숙박,60_70,320978.26086956525
우도면,숙박,60_70,89188.88888888889
월평동,숙박,60_70,90000.0
이도이동,숙박,60_70,834461.1481481482
이도일동,숙박,60_70,852309.1056910569
이호일동,숙박,60_70,417458.1395348837
일도이동,숙박,60_70,198905.6603773585
일도일동,숙박,60_70,311053.9090909091
조천읍,숙박,60_70,1128098.8716981132
중문동,숙박,60_70,664931.7677419354
추자면,숙박,60_70,338410.5263157895
토평동,숙박,60_70,1276810.6194690266
표선면,숙박,60_70,1142906.3056994819
하예동,숙박,60_70,353554.4411764706
하원동,숙박,60_70,1460455.2631578948
하효동,숙박,60_70,86444.44444444444
한경면,숙박,60_70,175114.2857142857
한림읍,숙박,60_70,922576.3493975904
해안동,숙박,60_70,429039.7368421053
호근동,숙박,60_70,293708.3333333333
회수동,숙박,60_70,426421.9726027397
회천동,숙박,60_70,1498233.8532110092
강정동,문화레저,10_20,391490.9090909091
건입동,문화레저,10_20,337673.9726027397
구좌읍,문화레저,10_20,64772.72727272727
남원읍,문화레저,10_20,67997.5
내도동,문화레저,10_20,52964.28571428572
노형동,문화레저,10_20,1086528.656716418
대정읍,문화레저,10_20,188800.0
도남동,문화레저,10_20,251702.32558139536
도두일동,문화레저,10_20,183567.14285714287
도련일동,문화레저,10_20,132287.09677419355
동홍동,문화레저,10_20,348083.87096774194
법환동,문화레저,10_20,80000.0
보목동,문화레저,10_20,80404.34782608696
봉개동,문화레저,10_20,15000.0
삼도이동,문화레저,10_20,329679.42307692306
삼도일동,문화레저,10_20,399084.2105263158
삼양이동,문화레저,10_20,170372.3404255319
상예동,문화레저,10_20,149385.41666666666
상효동,문화레저,10_20,35000.0
색달동,문화레저,10_20,204290.32258064515
서귀동,문화레저,10_20,1212144.2465753425
서홍동,문화레저,10_20,41444.444444444445
성산읍,문화레저,10_20,99976.4705882353
아라이동,문화레저,10_20,349250.0
아라일동,문화레저,10_20,247492.0
안덕면,문화레저,10_20,61503.27868852459
애월읍,문화레저,10_20,140769.84126984127
연동,문화레저,10_20,1677433.8636363635
영평동,문화레저,10_20,20000.0
오라삼동,문화레저,10_20,360500.0
오라이동,문화레저,10_20,98000.0
오라일동,문화레저,10_20,284273.6842105263
외도이동,문화레저,10_20,33785.71428571428
외도일동,문화레저,10_20,17303.333333333332
용담삼동,문화레저,10_20,113046.51162790698
